frequency;signal;group;sensor;time;hash
0.43439999999999995;0.566653140744;C;1;0;C-1-0
0.4346;0.565793862226;C;1;0;C-1-0
0.43479999999999996;0.564926573534;C;1;0;C-1-0
0.435;0.563782986021;C;1;0;C-1-0
0.4352;0.562010323211;C;1;0;C-1-0
0.43539999999999995;0.560389193987;C;1;0;C-1-0
0.4356;0.557548310319;C;1;0;C-1-0
0.43579999999999997;0.556149522363;C;1;0;C-1-0
0.436;0.553003861519;C;1;0;C-1-0
0.4362;0.549432601908;C;1;0;C-1-0
0.43639999999999995;0.546073783909;C;1;0;C-1-0
0.4366;0.541897434517;C;1;0;C-1-0
0.43679999999999997;0.537056264648;C;1;0;C-1-0
0.437;0.53195313001;C;1;0;C-1-0
0.4372;0.526197417044;C;1;0;C-1-0
0.43739999999999996;0.521206272187;C;1;0;C-1-0
0.4376;0.514273864397;C;1;0;C-1-0
0.43779999999999997;0.508761142206;C;1;0;C-1-0
0.438;0.50235123277;C;1;0;C-1-0
0.4382;0.496410739844;C;1;0;C-1-0
0.43839999999999996;0.491557432705;C;1;0;C-1-0
0.4386;0.487613402025;C;1;0;C-1-0
0.43879999999999997;0.484187614032;C;1;0;C-1-0
0.439;0.482113201564;C;1;0;C-1-0
0.4392;0.481913537909;C;1;0;C-1-0
0.43939999999999996;0.48300564415;C;1;0;C-1-0
0.4396;0.485592699896;C;1;0;C-1-0
0.43979999999999997;0.489326205409;C;1;0;C-1-0
0.44;0.493335748439;C;1;0;C-1-0
0.4402;0.49799623446;C;1;0;C-1-0
0.44039999999999996;0.502845673265;C;1;0;C-1-0
0.4406;0.507455036642;C;1;0;C-1-0
0.44079999999999997;0.512322940574;C;1;0;C-1-0
0.441;0.516145881988;C;1;0;C-1-0
0.4412;0.520173460395;C;1;0;C-1-0
0.44139999999999996;0.523080793788;C;1;0;C-1-0
0.4416;0.52615182743;C;1;0;C-1-0
0.44179999999999997;0.529007622631;C;1;0;C-1-0
0.442;0.531934845511;C;1;0;C-1-0
0.4422;0.533923086738;C;1;0;C-1-0
0.44239999999999996;0.5356622076;C;1;0;C-1-0
0.4426;0.538287196017;C;1;0;C-1-0
0.44279999999999997;0.539910567706;C;1;0;C-1-0
0.443;0.541470039053;C;1;0;C-1-0
0.4432;0.54366386906;C;1;0;C-1-0
0.44339999999999996;0.545100327748;C;1;0;C-1-0
0.4436;0.546296132174;C;1;0;C-1-0
0.4438;0.548042021496;C;1;0;C-1-0
0.444;0.548532618973;C;1;0;C-1-0
0.4442;0.550485140104;C;1;0;C-1-0
0.44439999999999996;0.550601320852;C;1;0;C-1-0
0.4446;0.55198851763;C;1;0;C-1-0
0.4448;0.553045221684;C;1;0;C-1-0
0.445;0.554476024268;C;1;0;C-1-0
0.4452;0.555221288537;C;1;0;C-1-0
0.44539999999999996;0.555747373043;C;1;0;C-1-0
0.4456;0.557144162602;C;1;0;C-1-0
0.4458;0.557847516452;C;1;0;C-1-0
0.446;0.558669812704;C;1;0;C-1-0
0.4462;0.558900611038;C;1;0;C-1-0
0.44639999999999996;0.559689930218;C;1;0;C-1-0
0.4466;0.553951192368;C;1;0;C-1-0
0.4468;0.564148945915;C;1;0;C-1-0
0.44699999999999995;0.559759556892;C;1;0;C-1-0
0.4472;0.562491568393;C;1;0;C-1-0
0.44739999999999996;0.562839873205;C;1;0;C-1-0
0.4476;0.562988989147;C;1;0;C-1-0
0.4478;0.563629424331;C;1;0;C-1-0
0.44799999999999995;0.564028524491;C;1;0;C-1-0
0.4482;0.56483274573;C;1;0;C-1-0
0.44839999999999997;0.565449735829;C;1;0;C-1-0
0.4486;0.565813091788;C;1;0;C-1-0
0.4488;0.565872749667;C;1;0;C-1-0
0.44899999999999995;0.566646338093;C;1;0;C-1-0
0.4492;0.567593673796;C;1;0;C-1-0
0.44939999999999997;0.567561612667;C;1;0;C-1-0
0.4496;0.568153402621;C;1;0;C-1-0
0.4498;0.568525530935;C;1;0;C-1-0
0.44999999999999996;0.56897716679;C;1;0;C-1-0
0.4502;0.568898243937;C;1;0;C-1-0
0.45039999999999997;0.569280894604;C;1;0;C-1-0
